Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,STM32F042F6P6,STMicroelectronics,STM32F042F6P6,https://octopart.com/stm32f042f6p6-stmicroelectronics-34084830,,,,1,497-17344-ND,511-STM32F042F6P6,Tube,,2.0566732500000002,2.0566732500000002,2187,6012,1,1,https://octopart.com/click/track?ai=8237&sig=0336943&sid=459&ppid=34084830&vpid=438816131&ct=offers,https://octopart.com/click/track?ai=8237&sig=0596617&sid=2401&ppid=34084830&vpid=183946111&ct=offers,LCSC,C81000,,1.2257,1.2257,1.2257,2612,1,https://octopart.com/click/track?ai=8237&sig=0f9f371&sid=27971&ppid=34084830&vpid=445984446&ct=offers,
1,BAT-HLD-001-ND,Linx,BAT-HLD-001,https://octopart.com/bat-hld-001-linx-12684376,,,,1,BAT-HLD-001-ND,712-BAT-HLD-001,Bulk,Bulk,0.26508233,0.26508233,28677,13225,1,1,https://octopart.com/click/track?ai=8237&sig=04b7d6c&sid=459&ppid=12684376&vpid=34288767&ct=offers,https://octopart.com/click/track?ai=8237&sig=0bfad2c&sid=2401&ppid=12684376&vpid=37913373&ct=offers,Digi-Key,BAT-HLD-001-ND,Bulk,0.26508233,0.26508233,0.26508233,28677,1,https://octopart.com/click/track?ai=8237&sig=04b7d6c&sid=459&ppid=12684376&vpid=34288767&ct=offers,
1,PKMCS0909E4000-R1,Murata,PKMCS0909E4000-R1,https://octopart.com/pkmcs0909e4000-r1-murata-33722062,,,,1,490-9647-1-ND,81-PKMCS0909E4000-R1,Cut Tape,Tape & Reel,1.3711155000000002,1.79159092,31718,7833,1,1,https://octopart.com/click/track?ai=8237&sig=0500299&sid=459&ppid=33722062&vpid=123296983&ct=offers,https://octopart.com/click/track?ai=8237&sig=039a195&sid=2401&ppid=33722062&vpid=98198516&ct=offers,"Arrow Electronics, Inc.",PKMCS0909E4000-R1,Cut Tape,1.2817187693999998,1.2817187693999998,1.2817187693999998,774,1,https://octopart.com/click/track?ai=8237&sig=0b47851&sid=1106&ppid=33722062&vpid=473337975&ct=offers,
1,MCP1700T-3302E/MB,Microchip,MCP1700T-3302E/MB,https://octopart.com/mcp1700t-3302e%2Fmb-microchip-107539,,,,1,MCP1700T3302EMBCT-ND,579-MCP1700T3302E/MB,Cut Tape,Tape & Reel,0.34734926,0.34734926,31850,20173,1,1,https://octopart.com/click/track?ai=8237&sig=06681aa&sid=459&ppid=107539&vpid=1724555&ct=offers,https://octopart.com/click/track?ai=8237&sig=01b6331&sid=2401&ppid=107539&vpid=37708840&ct=offers,Microchip,MCP1700T-3302E/MB,Tape & Reel,0.33820849000000003,0.33820849000000003,0.33820849000000003,132262,1,https://octopart.com/click/track?ai=8237&sig=0c12430&sid=13798&ppid=107539&vpid=49600518&ct=offers,
1,BAT54CLT3G,ON Semiconductor,BAT54CLT3G,https://octopart.com/bat54clt3g-on+semiconductor-12177795,,,,1,BAT54CLT3GOSCT-ND,863-BAT54CLT3G,Cut Tape,Tape & Reel,0.12797078,0.12797078,146952,93839,1,1,https://octopart.com/click/track?ai=8237&sig=0d98475&sid=459&ppid=12177795&vpid=194411454&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ade4c1&sid=2401&ppid=12177795&vpid=37777723&ct=offers,Rochester Electronics,BAT54CLT3G,,0.018281540000000002,0.018281540000000002,0.018281540000000002,170000,1,https://octopart.com/click/track?ai=8237&sig=043b270&sid=5832&ppid=12177795&vpid=84979106&ct=offers,
1,10118192-0001LF,FCI,10118192-0001LF,https://octopart.com/10118192-0001lf-fci-21265434,,,,1,609-4613-1-ND,649-10118192-0001LF,Cut Tape,Tape & Reel,0.39305311,0.40219388,69756,37512,1,1,https://octopart.com/click/track?ai=8237&sig=01a42ab&sid=459&ppid=21265434&vpid=531263943&ct=offers,https://octopart.com/click/track?ai=8237&sig=05fd705&sid=2401&ppid=21265434&vpid=45455345&ct=offers,Freelance Electronics,10118192-0001LF,,0.13332727122,0.13332727122,0.13332727122,370,1,https://octopart.com/click/track?ai=8237&sig=0b169ed&sid=13062&ppid=21265434&vpid=262563965&ct=offers,
4,CL21B104KBCNNNC,Samsung,CL21B104KBCNNNC,https://octopart.com/cl21b104kbcnnnc-samsung-9299352,,,,4,1276-1003-1-ND,,Cut Tape,,0.09140770000000001,,496650,,1,,https://octopart.com/click/track?ai=8237&sig=0e879f3&sid=459&ppid=9299352&vpid=72526069&ct=offers,,Quest,CL21B104KBCNNNC,,0.039762349499999995,0.15904939799999998,0.15904939799999998,83775,1,https://octopart.com/click/track?ai=8237&sig=0c72931&sid=2412&ppid=9299352&vpid=490151156&ct=offers,
2,CL21A105KACLNNC,Samsung,CL21A105KACLNNC,https://octopart.com/cl21a105kaclnnc-samsung-11542315,,,,2,1276-2395-1-ND,,Cut Tape,,0.12797078,,1635,,1,,https://octopart.com/click/track?ai=8237&sig=0c4b900&sid=459&ppid=11542315&vpid=72525687&ct=offers,,Digi-Key,1276-2395-1-ND,Cut Tape,0.12797078,0.25594156,0.25594156,1635,1,https://octopart.com/click/track?ai=8237&sig=0c4b900&sid=459&ppid=11542315&vpid=72525687&ct=offers,
1,CL21A475KPCLNNC,Samsung,CL21A475KPCLNNC,https://octopart.com/cl21a475kpclnnc-samsung-21395695,,,,1,1276-2417-1-ND,,Cut Tape,,0.16453386,,362140,,1,,https://octopart.com/click/track?ai=8237&sig=0fab84d&sid=459&ppid=21395695&vpid=72525898&ct=offers,,"Arrow Electronics, Inc.",CL21A475KPCLNNC,Cut Tape,0.15630716700000002,0.15630716700000002,0.15630716700000002,11502,1,https://octopart.com/click/track?ai=8237&sig=0f4f54e&sid=1106&ppid=21395695&vpid=473428254&ct=offers,
1,ERJ-6ENF4700V,Panasonic,ERJ-6ENF4700V,https://octopart.com/erj-6enf4700v-panasonic-9251399,,,,1,P470CCT-ND,667-ERJ-6ENF4700V,Cut Tape,Tape & Reel,0.09140770000000001,0.09140770000000001,46084,63289,1,1,https://octopart.com/click/track?ai=8237&sig=0436e3f&sid=459&ppid=9251399&vpid=115222596&ct=offers,https://octopart.com/click/track?ai=8237&sig=01f1b56&sid=2401&ppid=9251399&vpid=115159331&ct=offers,Quest,ERJ6ENF4700V,,0.032906772,0.032906772,0.032906772,14759,1,https://octopart.com/click/track?ai=8237&sig=01b7fa2&sid=2412&ppid=9251399&vpid=195923729&ct=offers,
1,ERJ-6ENF1004V,Panasonic,ERJ-6ENF1004V,https://octopart.com/erj-6enf1004v-panasonic-55403682,,,,1,P1.00MCCT-ND,667-ERJ-6ENF1004V,Cut Tape,Tape & Reel,0.09140770000000001,0.09140770000000001,400134,292830,1,1,https://octopart.com/click/track?ai=8237&sig=08083ec&sid=459&ppid=55403682&vpid=188062522&ct=offers,https://octopart.com/click/track?ai=8237&sig=09a3424&sid=2401&ppid=55403682&vpid=187840508&ct=offers,Voyager Components,ERJ6ENF1004VPANASONICN/A,,0.009140770000000001,0.009140770000000001,0.009140770000000001,8971,1,https://octopart.com/click/track?ai=8237&sig=06b3a5c&sid=2424&ppid=55403682&vpid=562542487&ct=offers,
4,PTS526 SK15 SMTR2 LFS,C&K Components,PTS526 SK15 SMTR2 LFS,https://octopart.com/pts526+sk15+smtr2+lfs-c%26k+components-100617999,,,,4,CKN12221-1-ND,611-PTS526SK15SMR2L,Cut Tape,Tape & Reel,0.09140770000000001,0.09140770000000001,4960,0,1,1,https://octopart.com/click/track?ai=8237&sig=0ddf7a6&sid=459&ppid=100617999&vpid=536764556&ct=offers,https://octopart.com/click/track?c=1&ai=8237&sig=035fcb3&sid=2401&ppid=100617999&vpid=586605336&ct=offers,"Arrow Electronics, Inc.",PTS526 SK15 SMTR2 LFS,Cut Tape,0.086837315,0.34734926,0.34734926,3946,1,https://octopart.com/click/track?ai=8237&sig=04c9444&sid=1106&ppid=100617999&vpid=560631872&ct=offers,
